title,originalTitle,description,genre
Zielona mila,The Green Mile,"Emerytowany strażnik więzienny opowiada przyjaciółce o niezwykłym mężczyźnie, którego skazano na śmierć za zabójstwo dwóch 9-letnich dziewczynek.",Dramat
Skazani na Shawshank,The Shawshank Redemption,"Adaptacja opowiadania Stephena Kinga. Niesłusznie skazany na dożywocie bankier, stara się przetrwać w brutalnym, więziennym świecie.",Dramat
Forrest Gump,,"Historia życia Forresta, chłopca o niskim ilorazie inteligencji z niedowładem kończyn, który staje się miliarderem i bohaterem wojny w Wietnamie.",Dramat / Komedia
Leon zawodowiec,Léon,"Płatny morderca ratuje dwunastoletnią dziewczynkę, której rodzina została zabita przez skorumpowanych policjantów.",Dramat / Kryminał
Requiem dla snu,Requiem for a Dream,"Historia czwórki bohaterów, dla których używki są ucieczką przed otaczającą ich rzeczywistością.",Dramat
Matrix,The Matrix,"Haker komputerowy Neo dowiaduje się od tajemniczych rebeliantów, że świat, w którym żyje, jest tylko obrazem przesyłanym do jego mózgu przez roboty.",Akcja / Sci-Fi
Milczenie owiec,The Silence of the Lambs,"Seryjny morderca i inteligentna agentka łączą siły, by znaleźć przestępcę obdzierającego ze skóry swoje ofiary.",Thriller
Gladiator,,"Generał Maximus - prawa ręka cesarza, szczęśliwy mąż i ojciec - w jednej chwili traci wszystko. Jako niewolnik-gladiator musi walczyć na arenie o przeżycie.",Dramat historyczny
Avatar,,"Jake, sparaliżowany były komandos, zostaje wysłany na planetę Pandora, gdzie zaprzyjaźnia się z lokalną społecznością i postanawia jej pomóc. ",Sci-Fi
Shrek,,"By odzyskać swój dom, brzydki ogr z gadatliwym osłem wyruszają uwolnić piękną księżniczkę.",Animacja / Familijny / Komedia
Szeregowiec Ryan,Saving Private Ryan,W poszukiwaniu zaginionego szeregowca wysłany zostaje doborowy oddział żołnierzy.,Dramat / Wojenny
Podziemny krąg,Fight Club,"Cierpiący na bezsenność mężczyzna poznaje gardzącego konsumpcyjnym stylem życia Tylera Durdena, który jest jego zupełnym przeciwieństwem. ",Thriller / Psychologiczny
Pulp Fiction,,"Przemoc i odkupienie w opowieści o dwóch płatnych mordercach pracujących na zlecenie mafii, żonie gangstera, bokserze i parze okradającej ludzi w restauracji.",Gangsterski
Titanic,,"Rok 1912, brytyjski statek Titanic wyrusza w swój dziewiczy rejs do USA. Na pokładzie emigrant Jack przypadkowo spotyka arystokratkę Rose. ",Melodramat / Katastroficzny
