title,description,genre
herbie: fully loaded,"Nastolatka Maggie dostaje od ojca sportowe auto. Po pewnym czasie okazuje się, że samochód ma niezwykłe właściwości.",family
switchback,"Agent FBI udaje się do miasteczka Amarillo, gdzie doszło do serii morderstw. Liczy, że ich sprawcą jest seryjny zabójca, którego tropi od lat. ",crime
un plan parfait,"Kiedy Isabelle oświadcza się ukochany mężczyzna, kobieta postanawia wziąć ślub i natychmiastowy rozwód z kimś przypadkowym, ponieważ nad jej rodziną wisi nietypowa klątwa. ",adventure
war photographer," Film dokumentalny poświęcony fotografowi wojennemu James'owi Nachtwey, człowiekowi uznawanego przez wielu za najlepszego w dziedzinie fotografii wojennej. Dzięki tej... ",documentary
padomju stasts,W serii wywiadów historycy opowiadają o sowieckim terrorze wewnętrznym i współpracy na linii ZSRR - III Rzesza Niemiecka. ,documentary
the i inside,"Simon po przebudzeniu odkrywa, że może przemieszczać się w czasie.",crime
icarus,"Amerykański kolarz bada aferę dopingową, w którą uwikłany jest rosyjski naukowiec - demaskator numer jeden na celowniku Putina.",documentary
tae-geug-ki hwi-nal-ri-myeo,W 1950 roku wybucha wojna koreańska. Bracia Jin-tae i Jin-seok zostają wcieleni do wojska.,drama
stargate,"U podnóża piramidy w Gizie ekipa archeologów znajduje tajemniczy metalowy pierścień. Egiptolog Daniel Jackson odkrywa, że jest on bramą do innego miejsca we wszechświecie. ",adventure
the haunting in connecticut,Cierpiący na raka Matt wraz z matką przeprowadza się do nowej posiadłości. Wykończony chorobą chłopak zaczyna mieć halucynacje i widzieć duchy.,horror
race,"Zapis kariery Jesse'ego Owensa, jednego z najlepszych lekkoatletów, który wystąpił na Olimpiadzie w Berlinie. ",biography
todos lo saben,"Laura&nbsp;wraz z dwójką dzieci powraca do rodzinnego miasteczka w Hiszpanii na wesele siostry. Imprezę przerywa zniknięcie Irene, jej nastoletniej córki.",drama
the trust,Para przeciętnych policjantów postanawia obrabować bankowy skarbiec.,crime
free birds,"Dwa indyki, Franek i Olo, przenoszą się w czasie do pierwszego Święta Dziękczynienia, by usunąć swoich pobratymców z ludzkiego menu. ",animation
murder on the orient express,W luksusowym pociągu ginie wpływowy biznesmen. Hercules Poirot podejmuje się rozwiązania zagadki i wskazania mordercy spośród trzynastu współpasażerów.,crime
voyage of time,Historia wszechświata od narodzin do ostatecznego upadku. ,documentary
the bank job,Film oparty na prawdziwych wydarzeniach przedstawiających kulisy legendarnego napadu na londyński bank przy Baker Street z 1971 roku.,crime
poranek kojota,"Kuba poznaje młodą piosenkarkę i jest nią zauroczony. Nie podoba się to ojcu dziewczyny, jak również jej chłopakowi. ",comedy
jodorowskys dune,"Dokument opowiada o próbie nakręcenia adaptacji filmowej powieści sci-fi ""Diuna"" przez Alejandra Jodorowsky'ego.",documentary
journey to the center of the earth,"Sean Anderson wraz z wujkiem wyrusza w podróż, aby odnaleźć zaginionego ojca. ",adventure
tower heist,"Pracownicy apartamentowca ""Tower"" postanawiają okraść biznesmena, który zdefraudował ich pieniądze. W przygotowaniach pomaga im złodziej Slide.",action
unstoppable,Opuszczony przez maszynistę pociąg pędzi po torach Pensylwanii. Pracownicy kolei podejmują próby zatrzymania niebezpiecznego składu. ,thriller
kalifornia,"Brian i Carrie wyruszają w podróż do Kalifornii, zabierając ze sobą Earla oraz jego dziewczynę, Adele. Nie wiedzą, że ich nowy znajomy to niebezpieczny przestępca. ",thriller
kill the messenger,Reporter pracujący dla San Jose Mercury News postanawia ujawnić powiązania CIA z organizacją przemycającą kokainę z Nikaragui do Kalifornii.,biography
ak-ma-leul bo-ass-da,Młody agent koreańskich służb specjalnych postanawia sam wymierzyć sprawiedliwość mordercy swojej narzeczonej. ,crime
casablanca,"II wojna światowa, Casablanca. Właściciel nocnego klubu, Rick Blaine, spotyka swoją dawną miłość, Ilsę, która okazuje się być żoną działacza czeskiego ruchu oporu, Victora Laszlo. Dawne uczucia odżywają.",crime
something the lord made,Znany kardiolog i jego czarnoskóry współpracownik wykonują pierwszy w historii zabieg u pacjentki z wrodzoną wadą serca. ,biography
rabbit-proof fence,"Pochodzące z mieszanych aborygeńskich rodzin Molly, Daisy i&nbsp; Grace trafiają do specjalnego ośrodka. Chcąc wrócić do domu, dziewczynki decydują się na ryzykowną ucieczkę.",adventure
the ant bully,"Prześladowany przez osiłka z sąsiedztwa Lucas odreagowuje frustrację, zatapiając mrowisko. Za ten postępek spotyka go kara: zostaje zmniejszony do rozmiaru owada.",animation
