title,description,genre
smurfs: the lost village,"Smerfetka wraz z kilkoma innym smerfami wyrusza na wyprawę aby dowiedzieć się, czemu jest jedyną dziewczyną w wiosce.",animation
luomo del labirinto,"Nastolatka zostaje porwana i uwięziona na piętnaście lat. Gdy budzi się w szpitalu, niczego nie pamięta. ",thriller
lemony snickets a series of unfortunate events,"Po śmierci rodziców, trójka rodzeństwa dostaje się pod opiekę hrabiego Olafa - aktora teatralnego i ich kuzyna, planującego ukraść otrzymaną w spadku przez dzieci fortunę. ",family
mile 22,Agent elitarnej jednostki CIA otrzymuje zadanie przejęcia ważnego informatora i przewiezienia go przez 22 mile niebezpiecznego terytorium. ,action
pol wieku poezji pozniej," Ćwierć wieku po pogromie rivijskim (ostatnich wydarzeniach z Sagi) zostaje zaatakowane Kaer Morhen, stare siedliszcze wiedźminów z cechu Wilka. Napaści przewodzi potężny... ",fantasy
pasolini,"Ostatnie dni z życia włoskiego scenarzysty i reżysera&nbsp;Piera Paolo Pasoliniego, który w swoich filmach&nbsp;prezentował poglądy lewicowe oraz zaangażowanie&nbsp;społeczno-polityczne.&nbsp;",biography
last shift,"Policjantka Loren dyżuruje na nocnej zmianie w zamkniętym posterunku. Gdy zaczynają dziać się dziwne rzeczy, postanawia je wyjaśnić.",horror
the witcher: nightmare of the wolf,"Vesemir ucieka od biedy i zostaje wiedźminem zawodowo zabijającym potwory. Jednak gdy na jego drodze staje nowe zagrożenie, musi stawić czoła demonom przeszłości.",fantasy
a night at the opera,Przebiegły menedżer oraz dwaj szaleni przyjaciele pomagają odnieść sukces parze wokalistów operowych. ,family
snatched,Amy razem ze swoją matką wyjeżdżają na wycieczkę do Ekwadoru. Na miejscu zostają porwane i wywiezione do dżungli.,comedy
step brothers,Po ślubie swoich rodziców dwóch mężczyzn w średnim wieku zostaje przyrodnimi braćmi i współlokatorami.,comedy
priest,"Wojny pomiędzy ludźmi a wampirami pustoszą Ziemię. Kiedy zostaje porwana młoda Lucy, jej wujek - ksiądz, postanawia złamać śluby i ruszyć bratanicy na ratunek.&nbsp;",horror
les visiteurs,"W wyniku pomyłki czarnoksiężnika dwunastowieczny rycerz Godfryd de Montmirail oraz jego wierny giermek, Jacquouille, zostają przeniesieni do XX wieku.",fantasy
home on the range,"Aby farma Pearl nie trafiła pod młotek, trzy krowy wyruszają złapać bandytę i dzięki temu zgarnąć nagrodę.",animation
perfect stranger,"Reporterka śledcza przenika do struktur świata reklamy, zatrudniając się jako sekretarka Harrisona Hilla - prezesa jednej z największych firm. Chce tym samym odnaleźć mordercę swojej przyjaciółki. ",thriller
steve jobs,Historia życia Steve'a Jobsa skupia się na kulisach wprowadzenia trzech kluczowych produktów przez firmy Apple i NeXT.,biography
the rainmaker,"Młody prawnik walczy z towarzystwem ubezpieczeniowym, które nie chce pokryć kosztów leczenia chłopca chorego na białaczkę. ",crime
mighty aphrodite,"Nowojorska para decyduje się na adopcję dziecka. Gdy wyrasta ono na nieprzeciętnie inteligentnego chłopca, mężczyzna zaczyna marzyć, by poznać jego biologiczną matkę.",fantasy
scott pilgrim vs. the world,"Aby móc spotykać się z wymarzoną dziewczyną, Scott musi pokonać jej siedmiu byłych chłopaków. ",fantasy
k-19: the widowmaker,Uzbrojony w głowice jądrowe radziecki okręt podwodny zbliża się do wybrzeża USA. Na pełnym morzu następuje awaria reaktora. ,drama
ooops! noah is gone...,"Zwierzaki, którym nie udało się dostać na Arkę Noego, muszą sobie poradzić w świecie zalewanym przez wodę. ",animation
ernest et celestine,"Niedźwiedź Ernest zaprzyjaźnia się z myszą Celestyną, kiedy ta pomaga mu w potrzebie.",animation
room 237,"Dokument przedstawia liczne teorie na temat znaczeń ukrytych w dziele Kubricka - ""Lśnienie"". ",documentary
bedtime stories,"Wieczorami pracownik hotelu sprawuje opiekę nad siostrzeńcami. Historie, które opowiada dzieciom na dobranoc zaczynają się urzeczywistniać.",family
tarzan,"Tarzan i Jane stają twarzą w twarz z armią najemników prowadzoną przez mężczyznę, który zagarnął majątek rodziców młodzieńca po tym, jak zginęli w katastrofie lotniczej.",animation
unga astrid,Astrid Lindgren czyta listy od swoich wielbicieli z całego świata. Podczas lektury staruszka zaczyna wspominać swoją młodość.,biography
1612,Trwa wojna polsko-rosyjska. Po śmierci prawowitego cara hetman Kibowski pragnie objąć władzę na Kremlu poprzez małżeństwo z Ksenią Godunową.,fantasy
