title,description,genre
desperadoes of dodge city," Rocky and the Land agent riders need to get an important message to the Army post. The message is stolen but Rocky knows one of the four men on the stagecoach has it. When Rocky and the four get trapped in a shack by the outlaw gang, he learns that one of the four is the gang leader. Rocky has to learn his identity and retrieve the message",western
gunslingers," Lou Cramer (Steve Clark) is accused of rustling and is convicted on the testimony of a rancher and the town marshal, both members of the actual gang. Whip (Whip Wilson) knows Cramer is innocent and hides him from a lynch mob. With the help of Winks McGee (Andy Clyde) and Libby Rawlings (Reno Browne), Whip gets evidence on one of the gang members, but the man is killed by his own gang and Whip is blamed.",western
riding shotgun," After members of his family are killed by the Maraday Gang during a stagecoach robbery, Larry Delong takes a job as stage guard in hopes that he will meet up with the outlaws. After he is captured by the bandits, his shot-up stage is returned to the town by the gang in order to draw the authorities out of town. After being left for dead, Delong escapes to warn the townspeople of an imminent raid by the outlaws. They don't believe his story and, in fact, accuse him of complicity in the stage robbery, tasking the town's remaining deputy with arresting him. A besieged Delong hides out in a local saloon before making his next move.",western
six gun mesa," After four of his men have been poisoned by Joe Lang ('Carl Mathews' )qv)), a member of a land-grabbing outlaw gang led secretly by town boss Carson ('Leonard Penn' (qv)), rancher Mark Jones ('Steve Clark (I)' (qv)) beds his herd on Six Gun Mesa just outside of town. Lang stampedes the cattle and Jones and all of his cowhands are killed. Carson implicates and frames ranch foreman Dave Emmett ('Riley Hill (I)' (qv)) for the crimes, and Dave's friends, Johnny Mack ('Johnny Mack Brown' (qv)) and Whiskey Evans ('Milburn Morante' (qv)), set out to prove his innocence. To get the herd on Six Gun Mesa, Carson has the owner and hands killed. But one hand, Dave Emmett was in town instead of with the cattle. So Carter kills a man and frames Dave for the murder. Johnny Mack Brown arrives just in time to stop the lynching and sets out to find the real killer. Getting the Doctor who falsified the murder evidence drunk gets him the information he wants and this leads to the showdown with Carson.",western
una pistola per cento bare, Returning from the civil war Jim Slade discovers his parents dead at their farm. It is said that the gang under the lead of Corbett has committed the crime. Jim now goes for revenge but things turn out to be more complicated than he originally thought. To get some money he accepts the job as a sheriff.,western
a missouri outlaw," The Sheriff is fighting Roberts and his crooked Protective Association. When he jails two of Roberts henchman, Roberts breaks them out and shoots him. The Sheriff's son Cliff then goes after his father's killer. He knows who the four men at the jail were and the unusual caliber bullet that was used. He runs them down one at a time until only Roberts is left.",western
sartana nella valle degli avvoltoi," Smooth and lethal gunfighter Lee Calloway helps three bandit brothers escape from jail under the condition that they give him fifty percent of the stolen gold they have hidden. Of course, the treacherous sibling trio don't plan on keeping their end of the deal.",western
dobe and a company of heroes," Tale about a Hollywood family of actors that is not about the darkside of ""Tinseltown"" told by stars you don't find on the front pages of supermarket tabloids. The life of actor Harry carey jr. from his first starring role with John Wayne in ""Three Godfathers"" to his last feature film ""Tombstone"" with Kurt Russell Tom Selleck, Sam Elliott, Richard Widmark, Bruce Boxleitner and others remember Harry Carey Jr. (Dobe)",western
trail of the rustlers," Trying to acquire all the land in the Rio Perdido valley, Chick Mahoney (Don Harvey), Jed Mahoney (Myron Healey) and their gang, working under the orders of the mother of the Mahoney boys, Mrs. J.G. Mahoney (Myra McKinney), raids the Hyland ranch and kills the owner. Steve Armitage (Charles Starrett) arrives and lends his assistance to Mary Ellen Hyland (Gail Davis), the rancher's daughter, and her young brother Tod (Tommy Ivo). Steve learns that his old pal, Smiley (Smiley Burnette), is working for the Mahoney gang without realizing they are outlaws and killers, and also finds out the Mahoneys are anxious to grab the valley land because of an underground river running beneath it.",western
oklahoma justice," Johnny Mack Brown, operating out of the Marshal's office, poses as a band bandit and stage robber, aided by his friend, stage driver Clancy, in order to learn the identity of a gang that has been pulling off stagecoach and bank robberies. The gang is headed by widowed ranch owner Ma Posey and includes Blackie Marshall, Deuce Logan, Tad and a traveling bank examiner, Fleming, who tips the gang off on money movement.",western
home in wyomin," Radio star Gene Autry returns to his home town of Gold Ridge at the request of his old friend Pop Harrison, who wants Gene to straighten out his wayward son, Tex Harrison, whose gambling and drinking threaten to bankrupt the rodeo organization which he heads. News photographer Clementine ""Clem"" Benson and reporter Hack Hackett are ordered to follow Gene. The group finds quarters at the ""Bar Nothing"" dude ranch, winter quarters for Tex's rodeo group, and Tex soon tangles with Hackett in a quarrel. The latter wins a thousand-dollar bag of gold from Sunrise, a miner who has earned his stake digging in the supposedly abandoned mine beneath Gold Ridge. Hackett spots a fugitive Chicago racketeer, Crowley, who is hiding out from the mob he has double-crossed. During a ""Frontier Days"" celebration, Hackett is killed and the sheriff orders an investigation of all the guns of the performers, who were using blanks, and Tex's gun is found with live ammunition and he is charged with murder because of the earlier quarrel. Gene suspects Crowley as he learns of his real background, but the true killer is neither Tex nor Crowley.",western
raiders of the border," Working undercover, Marshals Nevada and Sandy are looking for jewel smugglers along the border. Posing as a nearly deaf man, Sandy gets a job as the wagon driver that picks up pottery. When he breaks a piece of pottery the jewels hidden inside are revealed.",western
dead game," ""Katy"" Didd is in love with Alice, but her guardian wishes her to marry Tetlow, an influential man in town. Katy knows Alice will be unhappy with Tetlow, and decides to win her by force. While Alice is on her way to meet Tetlow for the wedding, Katy holds up the stage and kidnaps her. Tetlow suspects Katy and has him captured and taken to the desert to die. Katy escapes, and returns to town just in time to stop the wedding ceremony. He gallops into the church and carries Alice off with him.",western
sunset of power," Aging Neil Brannum turns the operation of his ranch over to Page Cothran and tells his Granddaughter Ruth she must marry him. But Cothran has been rustling Brannum's cattle and Brannum's hand Cliff Lea knows of it. When Cothran sends a man to kill Cliff, he gets the wrong man. Cliff then kidnaps Ruth to breakup the wedding and then goes after Cothran.",western
dynamite pass," Cowhands Ross Taylor and his pal Chito Rafferty rescue road-construction engineer Dan Madden and his wife, Mary, when Madden is delayed starting work on a road running parallel to a toll road operated by Anson Thurder and his armed henchmen. After a running gun battle, Ross and Chito get the Maddens to the construction site, aided by Jay Wingate, who is in league with Wingate but poses as an advocate of the new road. When Madden's surveying instruments are destroyed while under Wingate's protection, Ross and Chito uncover the connection between Thurber and Wingate. To get rid of Ross, Wingate insinuates that Ross and Mary are having an affair. Ross knocks him down but is arrested for assault by the sheriff, but Chito rescues him. Ross and Chito save Madden from Wingate's next scheme to get rid of him, but all three are trapped in a canyon wired with dynamite and about to be set off by Wingate's men.",western
pecos river," Steve is a Government Agent looking for the gang that stole the U.S. Mail. When Old Henry kills an outlaw trying to rob the stage, the outlaws gun down Henry at his home. His son Jack, just back from the East, is taught to shoot by the Durango Kid. Steve appears to join the gang in order to catch them.",western
cattle queen of montana," The Jones family, about to prove claim to prime Montana land, is raided by renegade Indians in league with villainous neighbor McCord, who gets most of the stolen cattle. Two survivors are helped by college-educated chief's son Colorados. Now Sierra Nevada Jones must fight for her land against legal technicalities and assorted villains. Can she gain the help of McCord's hired gun, Farrell?",western
dont fence me in," Roy, the proprietor of a dude ranch where Gabby is working as a hired hand. Dale is a photojournalist working for ""Spread"" magazine sent from New York to investigate a long-dead highwayman by the name of ""Wildcat"" Kelly. After finding out, by snooping around the ranch, that Gabby is in fact ""Wildcat"" Kelly, she publishes her findings in the magazine and Gabby is shot. Word is put out that Gabby died of the gunshot and a funeral is arranged. During the lying in state, Dale hides near the casket and photographs all the mourners as they pass by the casket. After the ceremony, Gabby reviews all the photos and picks out the man he saw shot him. By means of a description of the kill supplied to the local sheriff the suspected killer is traced to a local nightclub called the Westward Ho. Roy and the Sons of the Pioneers get a job entertaining at the club to try to locate and build a case against the gunman. By having Gabby make an appearance at the club and scaring the gunman into going to his boss, they find that he was working for the club's owner, one Henry Bennett. Bennett sends his gunman away until things quiet down. Later a gunshot is heard and Bennett announces that his assistant (the gunman) has been killed with what is discovered to be ""Wildcat"" Kelly's gun. The police seal off the club and discover Gabby hiding in one of the rooms. The final resolution comes about that Bennett a.k.a. Benson had claimed the reward for ""Wildcat"" Kelly through illicit means and had killed a man who could connect him to the wrongfully obtained reward. Bennett then had the man's body buried in the coffin which had contained a sandbag in place of ""Wildcat's"" body. ""Wildcat"" Kelly, never having been killed in the first place, was only trying to avoid being prosecuted for past crimes by means of faking his own death. In the end, Gabby is found innocent and Bennett convicted of murder and his club ceased and sold at auction and thereafter bought by Roy. Toni Ames, the star reporter of a muck-raking picture magazine, is sent to Twin Wells, where Wildcat Kelly, daring and colorful desperado is buried in a lonely desert outside the town and her editor has sent her to find out if Kelly is actually dead, as there are rumors to the contrary. At the R-Bar-R Dude Ranch she meets Gabby Whittaker who claims to have been Wildcat's best friend. By accident, she learns that Gabby is actually Wildcat. Her story arouses the interest of the Governor because of a pending murder charge against Wildcat, and also that of Henry Bennett, the man actually responsible for the only crime ever attributed to Wildcat. Bennett sends his henchman Cliff Anson to kill Gabby, but he is only wounded, a fact that is undisclosed. Roy Rogers, Gabby's best friend, suspects Bennett, and he and the Sons of the Pioneers and Toni get booking at The Westward Ho, Bennett's club. Gabby then returns from the dead, scares Anson into confessing and Roy and the Sons round up the rest of the gang.",western
springtime in the rockies," When the new ranch owner and her girlfriends arrive from the East, Foreman Autry directs them to a rundown shack hoping they will go back. Learning of Autry's trick, Briggs gets her to sell the ranch cheap. Then to get Autry out of the way he has him framed for murder.",western
shadows on the range," Cattleman Agent Mason arrives to help find rustlers. A letter to the Sheriff and a fake scar gets him identified as a wanted murderer and attracts the attention of the gang leader. But when he is named the new boss of the gang, dissension arises between the leader and the rustlers and Mason must now try to bring them all in.",western
heller in pink tights," Nineteenth century Wyoming: the wild West. Mild-mannered Tom Healy has a two-wagon theater troupe hounded by creditors because Angela, his leading lady and the object of his affection, constantly buys clothes. In Cheyenne, they meet with applause, so they hope to stay awhile: the theater owner likes Angela, and she keeps him on a string. She's also the object of the attentions of Mabry, a gunslinger who's owed money by the richest man in Bonanza. Complications arise and the troupe heads for Bonanza, through hostile Indian territory. Is the troupe doomed to a peripatetic life, is Mabry in danger, and does Tom stand a chance with Angela, a hellion in pink tights?",western
outlaw country," Marshal Clark sends Lash La Rue and Fuzzy Q. Jones to break up a gang of counterfeiters, led by Jim McCord, operating in a deserted village across the border. On the way, they chase off three outlaws in pursuit of a wagon carrying Frank Evans and his daughter Jane, who are trying to escape from the outlaw's hideout. Lash leaves Fuzzy to guard the buckboard while he escorts the Evans' to a friend's cabin, and returns to find Fuzzy missing and a note, signed by the Frontier Phantom, advising him to get out of the country. He returns to the cabin and also finds Evans and his daughter gone, but runs into the Frontier Phantom, who is his exact double and his long-lost twin brother. They fight, Lash wins and takes the Phantom's clothes and heads for the outlaw stronghold. There he finds Fuzzy has been made chief cook-and-bottle washer and janitor. McCord thinks there is something different about the Phantom and sends henchmen Turk and Buck to trail him. Lash gets rid of Buck, but Turk returns to McCord's with the news of his real identity. Lash returns and is soon involved in a one-sided gun battle. Fuzzy goes for help and encounters the real Frontier Phantom who rides to the gun fight to join his brother.",western
texans never cry," Texas Ranger Sergeant Gene Autry (Gene Autry) and his pal, Pecos Bates (Pat Buttram), save from eviction the family of Nancy Carter (Gail Davis), whose father (Harry Tyler) has purchased fake Mexican lottery tickets. Gene suspects that Tracy Wyatt (Tom Keene as Richard Powers) heads the lottery counterfeit gang, but has no proof. The paper for the tickets is furnished by newspaper publisher Frank Bagley (Roy Gordon) who uses his daughter Rita (Mary Castle) as the courier. Fearing that Gene is getting too close in uncovering their racket, the gang sends for a hired gunman, Steve Diamond (Russell Hayden as Russ Hayden) to murder Gene. Badguy Tracy Wyatt plans to get rich through a phony Mexican lottery ticket scam. Texas lawman Gene wrecks the plot and must deal with the consequences.",western
